operation,time,iteration
csv_write,1.4074208736419678,1
csv_write,0.841282844543457,2
csv_write,0.7151608467102051,3
csv_write,0.6469099521636963,4
csv_write,0.8693258762359619,5
csv_write,0.8332889080047607,6
csv_write,1.0208330154418945,7
csv_write,0.7761270999908447,8
csv_write,1.0251078605651855,9
csv_write,1.063830852508545,10
csv_write,0.9977710247039795,11
csv_write,1.0251820087432861,12
csv_write,1.0231690406799316,13
csv_write,1.002485990524292,14
csv_write,1.390772819519043,15
csv_write,0.5953860282897949,16
csv_write,0.6185059547424316,17
csv_write,0.5835940837860107,18
csv_write,0.5882070064544678,19
csv_write,1.0605418682098389,20
csv_write,1.2104511260986328,21
csv_write,0.9079580307006836,22
csv_write,0.8752000331878662,23
csv_write,0.6261880397796631,24
csv_write,0.5617458820343018,25
csv_write,0.6699450016021729,26
csv_write,0.5551471710205078,27
csv_write,1.109786033630371,28
csv_write,0.603024959564209,29
csv_write,0.7465019226074219,30
csv_read,3.97221302986145,1
csv_read,2.4759600162506104,2
csv_read,2.1636641025543213,3
csv_read,2.158926010131836,4
csv_read,2.014867067337036,5
csv_read,2.1586639881134033,6
csv_read,2.296687126159668,7
csv_read,2.044435977935791,8
csv_read,2.082655906677246,9
csv_read,2.010435104370117,10
csv_read,1.99959397315979,11
csv_read,2.015331983566284,12
csv_read,2.064203977584839,13
csv_read,2.213078022003174,14
csv_read,2.1012680530548096,15
csv_read,2.3016319274902344,16
csv_read,2.2592289447784424,17
csv_read,2.3523621559143066,18
csv_read,2.295836925506592,19
csv_read,2.3546178340911865,20
csv_read,2.2878341674804688,21
csv_read,2.30351185798645,22
csv_read,2.4993629455566406,23
csv_read,2.2822329998016357,24
csv_read,2.272472858428955,25
csv_read,2.368659019470215,26
csv_read,2.3064889907836914,27
csv_read,2.2967898845672607,28
csv_read,2.3416659832000732,29
csv_read,2.3500399589538574,30
csv_fread,0.5488839149475098,1
csv_fread,0.4918379783630371,2
csv_fread,0.2166430950164795,3
csv_fread,0.23951005935668945,4
csv_fread,0.2429971694946289,5
csv_fread,0.5227298736572266,6
csv_fread,0.22316718101501465,7
csv_fread,0.23963499069213867,8
csv_fread,0.2607707977294922,9
csv_fread,0.514671802520752,10
csv_fread,0.21464300155639648,11
csv_fread,0.2471790313720703,12
csv_fread,0.2482461929321289,13
csv_fread,0.5193500518798828,14
csv_fread,0.2158350944519043,15
csv_fread,0.2368788719177246,16
csv_fread,0.2453598976135254,17
csv_fread,0.5205190181732178,18
csv_fread,0.2216780185699463,19
csv_fread,0.24306106567382813,20
csv_fread,0.2550010681152344,21
csv_fread,0.5041711330413818,22
csv_fread,0.21958398818969727,23
csv_fread,0.24262785911560059,24
csv_fread,0.24954581260681152,25
csv_fread,0.502964973449707,26
csv_fread,0.23122191429138184,27
csv_fread,0.26951003074645996,28
csv_fread,0.2615351676940918,29
csv_fread,0.24185395240783691,30
rds_write,13.418440818786621,1
rds_write,11.983695983886719,2
rds_write,12.012289047241211,3
rds_write,12.031269073486328,4
rds_write,12.175295114517212,5
rds_write,11.881332874298096,6
rds_write,11.84137511253357,7
rds_write,12.042517185211182,8
rds_write,11.878846168518066,9
rds_write,12.072330951690674,10
rds_write,12.039009094238281,11
rds_write,11.861006021499634,12
rds_write,12.04550313949585,13
rds_write,11.820149898529053,14
rds_write,12.021013021469116,15
rds_write,11.81939697265625,16
rds_write,11.843986988067627,17
rds_write,11.814993143081665,18
rds_write,11.891160011291504,19
rds_write,12.046382904052734,20
rds_write,11.919364929199219,21
rds_write,11.853575944900513,22
rds_write,11.771883964538574,23
rds_write,11.828949928283691,24
rds_write,11.909585952758789,25
rds_write,12.43707799911499,26
rds_write,11.845169067382813,27
rds_write,11.826352834701538,28
rds_write,12.166579008102417,29
rds_write,11.925793886184692,30
rds_read,2.0400869846343994,1
rds_read,1.9353852272033691,2
rds_read,1.9302570819854736,3
rds_read,1.9206838607788086,4
rds_read,1.867706060409546,5
rds_read,1.919734001159668,6
rds_read,1.899219036102295,7
rds_read,1.9580318927764893,8
rds_read,1.8895368576049805,9
rds_read,1.8590388298034668,10
rds_read,1.8705871105194092,11
rds_read,1.8693668842315674,12
rds_read,1.9003300666809082,13
rds_read,1.8674960136413574,14
rds_read,1.9012560844421387,15
rds_read,1.8752779960632324,16
rds_read,1.891110897064209,17
rds_read,1.8673079013824463,18
rds_read,1.8921918869018555,19
rds_read,1.8883531093597412,20
rds_read,1.90177583694458,21
rds_read,1.8726129531860352,22
