operation,time,iteration
rds_read,1.9062719345092773,23
rds_read,1.9128708839416504,24
rds_read,1.9110958576202393,25
rds_read,1.936155080795288,26
rds_read,2.0336430072784424,27
rds_read,1.864452838897705,28
rds_read,1.843925952911377,29
rds_read,1.8850219249725342,30
parquet_write,1.3099439144134521,1
parquet_write,1.2147371768951416,2
parquet_write,1.1734020709991455,3
parquet_write,1.185593843460083,4
parquet_write,1.251446008682251,5
parquet_write,1.1912670135498047,6
parquet_write,1.233078956604004,7
parquet_write,1.1372971534729004,8
parquet_write,1.1381359100341797,9
parquet_write,1.1497089862823486,10
parquet_write,1.1348278522491455,11
parquet_write,1.183912992477417,12
parquet_write,1.1625380516052246,13
parquet_write,1.1303431987762451,14
parquet_write,1.1631639003753662,15
parquet_write,1.1906509399414063,16
parquet_write,1.2098510265350342,17
parquet_write,1.1204478740692139,18
parquet_write,1.1588168144226074,19
parquet_write,1.2204699516296387,20
parquet_write,1.1522190570831299,21
parquet_write,1.2667579650878906,22
parquet_write,1.1261470317840576,23
parquet_write,1.208327054977417,24
parquet_write,1.17067289352417,25
parquet_write,1.2553300857543945,26
parquet_write,1.2132420539855957,27
parquet_write,1.1774868965148926,28
parquet_write,1.2236108779907227,29
parquet_write,1.2998380661010742,30
parquet_read,0.6519770622253418,1
parquet_read,0.7453839778900146,2
parquet_read,0.6914019584655762,3
parquet_read,0.47444987297058105,4
parquet_read,0.78363800048828125,5
parquet_read,0.6517329216003418,6
parquet_read,0.5742900371551514,7
parquet_read,0.7880229949951172,8
parquet_read,0.6326148509979248,9
parquet_read,0.5984148979187012,10
parquet_read,0.8473079204559326,11
parquet_read,0.499708890914917,12
parquet_read,0.5046441555023193,13
parquet_read,0.72200608253479,14
parquet_read,0.6422789096832275,15
parquet_read,0.7075200080871582,16
parquet_read,1.067612886428833,17
parquet_read,1.4515550136566162,18
parquet_read,1.0612330436706543,19
parquet_read,5.282118082046509,20
parquet_read,0.6748669147491455,21
parquet_read,0.43361616134643555,22
parquet_read,0.3435790538787842,23
parquet_read,0.45679306983947754,24
parquet_read,0.5130090713500977,25
parquet_read,0.56974196434021,26
parquet_read,0.9535760879516602,27
parquet_read,0.957226037979126,28
parquet_read,0.9433228969573975,29
parquet_read,0.9356060028076172,30
